linkedin_id,instagram_id,match,confidence,similarity_score,name_similarity,location_similarity,content_similarity,difficulty
ln_0001,ig_0001,1,0.838,0.792,1.0,0.733,0.605,medium
ln_0002,ig_0002,1,0.784,0.669,1.0,0.808,0.703,hard
ln_0003,ig_0003,1,0.778,0.696,1.0,0.786,0.654,hard
ln_0004,ig_0004,1,0.973,0.847,1.0,0.691,0.706,easy
ln_0005,ig_0005,1,0.92,0.867,1.0,0.751,0.746,easy
ln_0006,ig_0006,1,0.812,0.729,1.0,0.612,0.78,medium
ln_0007,ig_0007,1,0.8,0.682,1.0,0.682,0.563,hard
ln_0008,ig_0008,1,0.935,0.886,1.0,0.738,0.668,easy
ln_0009,ig_0009,1,0.919,0.825,1.0,0.862,0.573,easy
ln_0010,ig_0010,1,0.94,0.812,1.0,0.797,0.699,easy
ln_0011,ig_0011,1,0.877,0.758,1.0,0.788,0.543,medium
ln_0012,ig_0012,1,0.892,0.772,1.0,0.82,0.685,medium
ln_0013,ig_0013,1,0.869,0.814,1.0,0.667,0.511,medium
ln_0014,ig_0014,1,0.9,0.851,1.0,0.716,0.771,medium
ln_0015,ig_0015,1,0.915,0.787,1.0,0.797,0.705,easy
ln_0016,ig_0016,1,0.859,0.74,1.0,0.668,0.547,medium
ln_0017,ig_0017,1,0.907,0.854,1.0,0.654,0.794,easy
ln_0018,ig_0018,1,0.938,0.848,1.0,0.826,0.581,easy
ln_0019,ig_0019,1,0.976,0.877,1.0,0.842,0.405,easy
ln_0020,ig_0020,1,0.766,0.659,1.0,0.697,0.461,hard
ln_0021,ig_0021,1,0.803,0.713,1.0,0.64,0.766,medium
ln_0022,ig_0022,1,0.903,0.823,1.0,0.681,0.702,easy
ln_0023,ig_0023,1,0.796,0.751,1.0,0.884,0.538,hard
ln_0024,ig_0024,1,0.914,0.843,1.0,0.796,0.706,easy
ln_0025,ig_0025,1,0.752,0.709,1.0,0.696,0.752,hard
ln_0026,ig_0026,1,0.816,0.713,1.0,0.798,0.542,medium
ln_0027,ig_0027,1,0.875,0.76,1.0,0.843,0.508,medium
ln_0028,ig_0028,1,0.912,0.813,1.0,0.692,0.598,easy
ln_0029,ig_0029,1,0.904,0.821,1.0,0.748,0.612,easy
